DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TPS40192DRCT,EAGLE,EAGLE,,,,,4101
TPS40193DRCR,EAGLE,EAGLE,,,,,3973
TPS40193DRCT,EAGLE,EAGLE,,,,,3973
TPS40222DRPR,EAGLE,EAGLE,,,,,4797
TPS40222DRPT,EAGLE,EAGLE,,,,,4797
TPS40303DRCR,EAGLE,EAGLE,,,,,3751
TPS40303DRCT,EAGLE,EAGLE,,,,,3751
TPS40304DRCR,EAGLE,EAGLE,,,,,3755
TPS40304DRCT,EAGLE,EAGLE,,,,,3755
TPS40305DRCR,EAGLE,EAGLE,,,,,3689
TPS40305DRCT,EAGLE,EAGLE,,,,,3689
TPS40322RHBR,EAGLE,EAGLE,,,,,1300
TPS40322RHBT,EAGLE,EAGLE,,,,,1300
TPS40401RHLR,EAGLE,EAGLE,,,,,1223
TPS40401RHLT,EAGLE,EAGLE,,,,,1223
TPS40422RHAR,EAGLE,EAGLE,,,,,935
TPS40422RHAT,EAGLE,EAGLE,,,,,935
TPS40425RHAR,EAGLE,EAGLE,,,,,939
TPS40425RHAT,EAGLE,EAGLE,,,,,939
TPS40428RHAR,EAGLE,EAGLE,,,,,1087
