"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6529253A","","","25","ETS-INAM-64","TT5516","16","RTE"
"6487839B","","","25","ETS-INA-64","TT5521","21","RTV"
"6529571A","","","25","ETS-2M-64","TT5535","35","DRB"
"6571495A","","","25","ETS-2-64","TT5550","50","RUY"
"6555639A","","","85","ETS-2-64","TT5563","63","RHR"
"6568858D","","","25","ETS-2M-64","TT5585","85","RVC"
"6552808A","","","25","","TT5590","90","DSS"
"6547181A","","","25","ETS-2-64","TT5572","72","DRC"
"6518677A","PS65168RSBR1-R","40","25","ETS-2-64","TT5588","88","RSB"
"6566885A","1220IRVAR-ZQN#","","25","ETS-2M-64","TT5514","14","RGY"
"6526024A","S65177RHAR1-G2","40","90","ETS-2-128","TT5507","07","RHA"
"6579192B","S53647RTAR-G2K","40","25","ETS-2-64","TT5559","59","RTA"
"6506370A","S62130ARGTRS-L","16","25","ETS364-NONSTD","TT5537","37","DSG"
"6560309A","Q24261MRGET1-8","24","25","ETS-2-64","TT5578","78","RGE"
"6522503A","D74110RVFR2-LN","40","25","ETS-2-64","TT5544","44","RVF"
"6570729C","TPS2388RTQR-C","56","25","ETS-2M-128","TT5562","62","RTQ"
"6528917B","S544B20RVFR-LN","40","25","ETS-2-64","TT5539","39","RVF"
"6524040A","2543QRTERQ1-G2","16","25","ETS-2-64","TT5530","30","RTE"
"6545253A","Q24715RGRR-G2K","20","25","ETS-2-64","TT5531","31","RGR"
"6541533C","51631RSMR-G2YK","32","25","ETS-2-64","TT5569","69","RSM"
"6513476C","TPS40322RHBR-C","32","25","ETS-2M-64","TT5580","80","RHB"
"","608098RHBR-G2K","32","25","ETS-INA-64","TT5508","08","RHB"
"6487839B","51980RTVR1-G2K","32","25","ETS-2-64","TT5533","33","RTV"
"6517701E","1640ARSLR1-G2K","48","25","ETS-2M-64","TT5518","18","RSL"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5592","92","RTW"
"6526546B","TPS65197RUYR-G","28","85","ETS-2-64","TT5519","19","RUY"
"6543758C","PS53515RVER-LN","28","25","ETS-2Q-64","TT5556","56","RVE"
"6579768C","BQ25890RTWR-G2","24","25","ETM-5-128","TT5554","54","RTW"
"6555639A","1306051RHRR-G2","28","85","ETS-2-64","TT5542","42","RHR"
"6505620C","561AQDRCRQ1-G2","10","25","ETS-0-64","TT5517","17","DRC"
"6579768C","BQ25892RTWR-G2","24","25","ETM-5-128","TT5553","53","RTW"
"6542741A","53819ARGTR1-LK","16","25","ETS-2-128","TT5532","32","RGT"
"6498316A","S51220ARSNR-LK","32","25","ETS-2-64","TT5534","34","RSN"
"6579768C","BQ25890RTWR-G2","24","25","ETM-5-128","TT5552","52","RTW"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5568","68","RGE"
"6525585A","Q24297RGER-G2Y","24","25","ETS-2-64","TT5525","25","RGE"
"6525585A","Q24297RGER-G2Y","24","25","ETS-2-64","TT5538","38","RGE"
"6544140B","D97376Q4M-LNKE","8","25","ETS-2-64","TT5575","75","DPC"
"6544140B","D97376Q4M-LNKE","8","25","ETS-2-64","TT5566","66","DPC"
"6525239A","TPS55330RTER-L","16","25","ETS-2-64","TT5576","76","RTE"
"6487925B","PS54620RGYR1-L","14","25","ETS-INA-64","TT5528","28","RHL"
"6487925B","PS54620RGYR1-L","14","25","ETS-1-64","TT5571","71","RHL"
"6479550B","N0706026RHHR-B","36","25","ETS-2-64","TT5564","64","RHH"
"6479550B","N0706026RHHR-B","36","25","ETS-2-64","TT5536","36","RHH"
"6487925B","PS54320RHLR-G2","14","25","ETS-2-64","TT5512","12","RGY"
"6547181A","2592BADRCR-G2K","10","25","ETS-2-64","TT5541","41","DRC"
"","408065RHLR-G2K","24","25","ETS-2-64","TT5526","26","RHL"
"6497193A","PS63031DSKR-CK","10","25","ETS-2-64","TT5579","79","DSK"
"6556725A","24250RGER1-G2Y","24","25","ETS-S-64","TT5515","15","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5529","29","RGE"
"6579768C","BQ25890RTWR-G2","24","25","ETM-5-128","TT5589","89","RTW"
"6523514A","TPS2555DRCR-C","10","25","ETS-0-64","TT5522","22","DRC"
"","58872Q5D6-NS2Y","8","25","ETS-200FT","TT5555","55","DQY"
"6487925B","PS54821RHLR2-R","14","25","ETS-1-64","TT5502","02","RHL"
"6487925B","PS54821RHLR2-R","14","25","ETS-INA-64","TT5582","82","RHL"
"6487925B","PS54821RHLR2-R","14","25","ETS-2-64","TT5549","49","RHL"
"6511094C","CC24610DRBR-CK","8","25","ETS-1-64","TT5513","13","DRB"
"6568521A","S652611RHBR-G2","32","25","ETS-2-64","TT5543","43","RHB"
"6492420C","PS54218RTER3-C","16","25","ETS-2-128","TT5558","58","RTE"
"","58873Q3D1-NS2Y","8","25","ETS-200FT","TT5593","93","DQZ"
"6571495A","24780SRUYR-G2K","28","25","ETS-2-64","TT5547","47","RUY"
"6575258A","406035RGER-G2Y","24","25","ETS-2-64","TT5548","48","RGE"
"6525585A","24296MRGER1-G2","24","25","ETS-2-64","TT5584","84","RGE"
"6529675B","A3221AIRGVR-ZK","16","25","ETS-2M-64","TT5545","45","RGV"
"6525600B","1108026RHDR1-R","28","85","ETS-2-64","TT5551","51","RHD"
"6471907A","PS62410DRCR-RY","10","85","ETS-INA-64","TT5501","01","DRC"
"6512302B","A8001DRBR2-G2K","8","25","ETS-2-64","TT5527","27","DRB"
"6569306A","5633BRTER-KDG2","16","25","ETS-2-64","TT5565","65","RTE"
"","58873Q3D1-NS2Y","8","25","ETS-200FT","TT5594","94","DQZ"
"6480208B","PS51125RGER-BY","24","25","ETS-0-64","TT5509","09","RGE"
"6512615D","24735RGRR1-G2K","20","25","ETS-2-64","TT5577","77","RGR"
"6568858D","25940ARVCR1-G2","20","25","ETS-S-64","TT5520","20","RVC"
"6520958B","PS53317RGBR-G2","20","25","ETS-2-64","TT5574","74","RGB"
"6494476A","PS40190DRCR-BY","10","25","ETM-4-64","TT5587","87","DRC"
