"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"","","","25","ETS-2-64","TT5529","29","RTJ"
"6487839B","","","25","ETS-2-64","TT5548","48","RTV"
"","","","25","ETM-5-128","TT5554","54","RTW"
"6555551A","PS65168RSBR1-R","40","25","ETS-S-64","TT5519","19","RGW"
"6517701E","S59641RSLR-G2K","48","25","ETS-2-64","TT5568","68","RSL"
"6515677C","C7812BSRGCR-CK","64","52","ETS-S-64","TT5515","15","RGC"
"6545098B","BQ24311DSGR-L","","25","ETS-2-64","TT5531","31","DQC"
"6526024A","S65177RHAR1-G2","40","90","ETS-INAM-64","TT5508","08","RHA"
"","603V1RUNR-G2N#","10","25","ETS-2-128","TT5532","32","RUN"
"6479465A","A6133A2RTJR-LK","20","25","ETS-2-64","TT5588","88","RTJ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5523","23","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2M-64","TT5539","39","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5585","85","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-128","TT5507","07","RTQ"
"6571778A","7A8300RGRR-G2K","20","25","ETS-2-64","TT5526","26","RGR"
"6579192B","S53647RTAR-G2K","40","25","ETS-2-64","TT5572","72","RTA"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5592","92","RTW"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5552","52","RTW"
"6541231B","Q24736RGRR-G2K","20","25","ETS-S-64","TT5512","12","RGR"
"6518233A","PS65023RSBR1-R","40","85","ETS-INA-64","TT5521","21","RSB"
"6575257C","SD97370Q5M2-LN","22","25","ETS-2-64","TT5551","51","DQP"
"","408065RHLR-G2K","24","25","ETS-2-64","TT5560","60","RHL"
"6566885A","S62736RGYR-G2K","14","25","ETS-2-64","TT5561","61","RGY"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5545","45","RGE"
"6542777B","1311031RHAR-G2","40","25","ETS-2-64","TT5536","36","RHA"
"6570316D","NA300AIDSQR-CK","10","25","ETS-2-64","TT5573","73","DSQ"
"6492420C","PS63000DRCR-LY","10","25","ETS-0-64","TT5503","03","RTE"
"6574595B","S24771RGER-G2K","24","25","ETS-2-64","TT5586","86","RGE"
"6494708A","TPS2590RSAR-G2","16","25","ETS-1M-64","TT5571","71","RSA"
"6570845A","S54335ADRCR-G2","10","25","ETS-2-64","TT5550","50","DRC"
"6489159B","TPS73701DRBR-B","8","25","ETS-0-64","TT5505","05","DRB"
"","S61093DSKR-G2K","10","25","ETS-2-64","TT5579","79","DSK"
"6517878B","PS53313RGER-G2","24","25","ETS-2-64","TT5547","47","RGE"
"6504342B","Q24617RGER-G2K","24","25","ETS-2-64","TT5578","78","RGE"
"6515577B","BQ24133RGYR-G2","24","25","ETS-2-64","TT5559","59","RGY"
"6505771B","TPS2557DRBR3-R","8","25","ETS-0-64","TT5522","22","DRB"
"6578688B","D97374Q4M-LNKE","8","25","ETS-2-64","TT5542","42","DPC"
"","58872Q5D7-NS2Y","8","25","ETS-200FT","TT5594","94","DQY"
"6541533C","S51624RSMR-G2K","32","25","ETS-2-64","TT5584","84","RSM"
"","PS51125RGER-BY","24","25","ETS-INA-64","TT5582","82","RGE"
"6575577B","V62150ARGTR-LY","16","25","ETS-2-64","TT5530","30","RGT"
"6513992A","V62150ARGTR-LY","16","25","ETM-4-64","TT5587","87","RGT"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5583","83","RTE"
"6569306A","5633BRTER-KDG2","16","25","ETS-2-128","TT5558","58","RTE"
"6479465A","A6130A2RTJR-LK","20","25","ETS-1-64","TT5504","04","RTJ"
"6541533C","S51624RSMR-G2K","32","25","ETS-2-64","TT5575","75","RSM"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5541","41","RTE"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5567","67","RTE"
"6548880A","771808DPJR-G2K","8","25","ETS-2-64","TT5576","76","DPJ"
"6546767B","CD3211A1RGPR-L","20","25","ETM-4-64","TT5546","46","RGP"
"6487925B","S54620RGYR1-G2","14","25","ETS-INA-64","TT5528","28","RHL"
"6516230D","S51200DRCR-G2Y","10","25","ETS-2-64","TT5564","64","DRC"
"6520958B","PS53317RGBR-G2","20","25","ETS-2-64","TT5563","63","RGB"
"","D58873Q3D-NS2Y","8","25","ETS-200FT","TT5593","93","DQZ"
"6504342B","BQ24616RGER-LK","24","25","ETS-0-64","TT5509","09","RGE"
"6541533C","1622RSMR1-G2YK","32","25","ETS-2-64","TT5534","34","RSM"
"6575258A","S65283RGER-G2Y","24","25","ETS-2-64","TT5518","18","RGE"
"6516230D","S51200DRCR-G2Y","10","25","ETS-INA-64","TT5501","01","DRC"
"6522212C","PS54218RTER3-C","16","25","ETS-2M-64","TT5535","35","RTE"
"6545098B","PS62175DQCR-RK","10","25","ETS-2-64","TT5570","70","DQC"
"6487925B","PS54622ARHLR-L","14","25","ETS-1-64","TT5502","02","RGY"
"6487925B","S54620RGYR1-G2","14","25","ETS-2-64","TT5514","14","RGY"
"","A2314AIDRBR-CK","8","25","ETS-1-64","TT5513","13","DRB"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5574","74","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5525","25","RGE"
"6525230A","53819ARGTR1-LK","16","25","ETS-2-64","TT5549","49","DRV"
"6570166B","202027LRSLR-G2","48","25","ETM-5-128","TT5553","53","RSL"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-128","TT5537","37","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5511","11","RGE"
"6487925B","N1109048RHLR-L","14","25","ETS-0-64","TT5517","17","RHL"
"6522167C","PS53319DQPR-LN","22","25","ETS-2-64","TT5527","27","DQP"
"6527607B","V62090RGTR1-G2","16","85","ETS-2-64","TT5565","65","RGT"
"6529675B","A3221AIRGVR-ZK","16","25","ETS-2M-64","TT5580","80","RGV"
"6543758C","PS53513RVER-LN","28","25","ETS-2Q-64","TT5556","56","RVE"
"","CSD17576Q5B1-N","8","25","ETS-200FT","TT5555","55","DNK"
"6523177B","SD97370Q5M2-LN","22","25","ETS-2-64","TT5506","06","DQP"
"ASM4198","NA826AIDRGR-RK","8","25","ETS-INAM-64","TT5516","16","DRG"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5538","38","RGE"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5569","69","RSH"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5544","44","RSH"
