"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6555639A","1306051RHRR-G2","28","85","ETS-2-64","TT5560","60","RHR"
"6513992A","6215AQRGTRQ1-L","16","25","ETM-4-64","TT5540","40","RGT"
"6517701E","S59641RSLR-G2K","48","25","ETS-2-64","TT5568","68","RSL"
"6515677C","C7812BSRGCR-CK","64","52","ETS-S-64","TT5515","15","RGC"
"6526024A","S65177RHAR1-G2","40","90","ETS-INA-64","TT5508","08","RHA"
"6479465A","A6133A2RTJR-LK","20","25","ETS-2-64","TT5588","88","RTJ"
"6579192B","S53647RTAR-G2K","40","25","ETS-2-64","TT5572","72","RTA"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5592","92","RTW"
"6571778A","7A8300RGRR-G2K","20","25","ETS-2-64","TT5526","26","RGR"
"6526878A","RV2667RGPR2-8P","20","25","ETS-0-64","TT5509","09","RGP"
"6574595B","S24771RGER-G2K","24","25","ETS-2-64","TT5586","86","RGE"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5523","23","RTQ"
"6519267C","AFE031AIRGZR-C","48","25","ETS-2-64","TT5544","44","RGZ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2M-64","TT5539","39","RTQ"
"6570845A","S54335ADRCR-G2","10","25","ETS-2-64","TT5550","50","DRC"
"6543758C","PS53513RVER-LN","28","25","ETS-2-64","TT5566","66","RVE"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-128","TT5507","07","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5585","85","RTQ"
"6487925B","PS51125RGER-BY","24","25","ETS-INA-64","TT5582","82","RGY"
"6479465A","A6130A2RTJR-LK","20","25","ETS-1-64","TT5504","04","RTJ"
"6515577B","BQ24170RGYR-G2","24","25","ETS-2-64","TT5559","59","RGY"
"6543648B","PS65631DPDR-G2","12","85","ETS-2-128","TT5537","37","DPD"
"6541602C","THS6187IRTJR-B","20","25","ETS-2-64","TT5578","78","RTJ"
"6545456B","S51367RVER-LNY","28","25","ETS-2Q-64","TT5556","56","RVE"
"6505771B","TPS2557DRBR3-R","8","25","ETS-0-64","TT5522","22","DRB"
"6487925B","S54620RGYR1-G2","14","25","ETS-0-64","TT5517","17","RHL"
"6569306A","65633BKRTER-G2","16","25","ETS-2-128","TT5558","58","RTE"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5583","83","RTE"
"6525230A","53819ARGTR1-LK","16","25","ETS-2-64","TT5549","49","DRV"
"6542741A","53819ARGTR1-LK","16","25","ETS-2-64","TT5573","73","RGT"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5541","41","RTE"
"6481275B","TPS40193DRCR-B","10","25","ETM-4-64","TT5587","87","DRC"
"6542777B","PS40428RHAR-G2","40","25","ETS-2M-64","TT5536","36","RHA"
"6525585A","Q24192HRGER-RY","24","25","ETS-2-64","TT5538","38","RGE"
"6530035A","1211DSCR1-G2YK","10","25","ETS-2-128","TT5532","32","DSC"
"6493388A","S61087DRCR-G2Y","10","92","ETS-S-64","TT5520","20","DRC"
"6525585A","Q24192HRGER-RY","24","25","ETS-2-64","TT5525","25","RGE"
"6541533C","51631RSMR-G2YK","32","25","ETS-2-64","TT5575","75","RSM"
"","86330Q3D1-GS2Y","8","25","ETS-200FT","TT5593","93","DQZ"
"6571495A","BQ24770RUYR-G2","28","25","ETS-2-64","TT5584","84","RUY"
"6568520B","1501005RHBR-G2","32","25","ETS-2-128","TT5562","62","RHB"
