"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6496545A","","","25","ETS-2-64","TT5581","81","RGF"
"6517701E","S59641RSLR-G2K","48","25","ETS-2-64","TT5568","68","RSL"
"6515677C","C7812BSRGCR-CK","64","52","ETS-S-64","TT5515","15","RGC"
"6545098B","BQ24311DSGR-L","","25","ETS-2-64","TT5531","31","DQC"
"6526024A","S65177RHAR1-G2","40","90","ETS-INA-64","TT5508","08","RHA"
"6579192B","S53647RTAR-G2K","40","25","ETS-2-64","TT5572","72","RTA"
"6566885A","S62736RGYR-G2K","14","25","ETS-S-64","TT5512","12","RGY"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5592","92","RTW"
"","BQ25892RTWR-G2","24","25","ETM-5-128","TT5554","54","RTW"
"6571778A","7A8300RGRR-G2K","20","25","ETS-2-64","TT5526","26","RGR"
"6574595B","S24771RGER-G2K","24","25","ETS-2-64","TT5586","86","RGE"
"6525585A","4296RGER-G2QR#","24","25","ETS-2-64","TT5511","11","RGE"
"","PS65148CRHBR-U","32","85","ETS-INA-64","TT5521","21","RHB"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5523","23","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2M-64","TT5539","39","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5585","85","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-128","TT5507","07","RTQ"
"6545456B","S51367RVER-LNY","28","25","ETS-2Q-64","TT5556","56","RVE"
"6515577B","BQ24171RGYR-G2","24","25","ETS-2-64","TT5559","59","RGY"
"6566339A","2085PRLTR1-LN&","","25","ETM-4-64","TT5546","46","DRV"
"6505771B","TPS2557DRBR3-R","8","25","ETS-2-64","TT5550","50","DRB"
"6525230A","53819ARGTR1-LK","16","25","ETS-2-64","TT5549","49","DRV"
"6548880A","771808DPJR-G2K","8","25","ETS-2-64","TT5570","70","DPJ"
"6569544C","304057RSBR-G2K","40","25","ETS-2-128","TT5562","62","RSB"
"6541602C","THS6187IRTJR-B","20","25","ETS-2-64","TT5578","78","RTJ"
"","58872Q5D7-NS2Y","8","25","ETS-200FT","TT5594","94","DQY"
"6571495A","DRV421RTJR-UN","20","25","ETS-2-64","TT5533","33","RUY"
"6542777B","PS40428RHAR-G2","40","25","ETS-2M-64","TT5536","36","RHA"
"6505771B","TPS2556DRBR-G2","8","25","ETS-0-64","TT5522","22","DRB"
"6545456B","S51367RVER-LNY","28","25","ETS-2-64","TT5560","60","RVE"
"6525585A","Q24192HRGER-RY","24","25","ETS-2-64","TT5538","38","RGE"
"6569306A","5633ARTER-KDG2","16","25","ETS-2-128","TT5558","58","RTE"
"6505620C","PS2561DRCR1-G2","10","25","ETS-INA-64","TT5501","01","DRC"
"6575577B","S62134CRGTR1-L","16","25","ETS-2-64","TT5530","30","RGT"
"6569306A","65633AKRTER-G2","16","25","ETS-2-64","TT5541","41","RTE"
"6569306A","65633AKRTER-G2","16","25","ETS-2-64","TT5567","67","RTE"
"6516394A","PS54326RGTR-LY","16","25","ETS-1-64","TT5513","13","RGT"
"6526489A","CC27201ADPRR-J","10","25","ETS-1-64","TT5571","71","DPR"
"6546054A","53640ARSBR-G2K","40","25","ETS-2-64","TT5577","77","RSB"
"6479465A","A6133A2RTJR-LK","20","25","ETS-1-64","TT5504","04","RTJ"
"6479465A","A6133A2RTJR-LK","20","25","ETS-2-64","TT5588","88","RTJ"
"6548880A","A8001DRBR1-G2K","8","25","ETS-2-64","TT5576","76","DPJ"
"6590151A","25810RVCR1-G2P","20","25","ETM-5-128","TT5552","52","RVC"
"6569306A","65633BKRTER-G2","16","25","ETS-2-64","TT5583","83","RTE"
"6571495A","BQ24777RUYR-G2","28","25","ETS-2-64","TT5584","84","RUY"
